group_set,group_id,group_name,team_id,team_abbreviation,gp,w,l,w_pct,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,sum_time_played
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,43,30,13,0.698,541.0,115.3,115.0,113.1,112.8,2.1,2.3,0.704,2.17,21.6,0.245,0.754,0.512,0.141,0.583,0.612,100.4,100.65,83.88,1131,0.527,1,1,594,301,1,226,368,244,188,70,141,289,236,252,370,214,221,374,277,1621680
Lineups,-1626157-1628404-1628969-1628973-1630540-,K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,16,11,5,0.688,123.0,132.2,132.9,115.8,116.6,16.4,16.3,0.585,2.65,19.8,0.324,0.667,0.504,0.106,0.624,0.661,95.9,95.32,79.44,246,0.594,5,6,584,303,2,149,378,208,257,54,191,237,296,258,327,178,170,449,229,367840
Lineups,-1626157-1628384-1628969-1628973-1629013-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,20,12,8,0.6,119.0,107.7,108.4,112.4,109.0,-4.7,-0.6,0.687,1.79,18.0,0.343,0.694,0.506,0.145,0.491,0.543,102.9,104.14,86.78,262,0.491,2,3,593,341,3,256,350,340,197,114,229,205,291,256,385,322,287,311,313,357455
Lineups,-1626157-1628384-1628969-1628973-1630540-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,13,7,6,0.538,91.0,128.4,126.9,129.3,128.3,-0.9,-1.4,0.702,2.11,20.8,0.333,0.658,0.488,0.142,0.625,0.666,99.9,100.83,84.02,197,0.508,9,14,590,350,4,162,433,341,189,73,153,206,339,345,372,165,165,368,288,274215
Lineups,-1626157-1628404-1628969-1628973-1629013-,K. Towns - J. Hart - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,15,11,4,0.733,84.0,111.1,111.0,110.2,111.0,0.9,0.0,0.628,2.13,19.4,0.259,0.711,0.488,0.126,0.547,0.581,101.5,101.17,84.31,182,0.532,6,6,574,295,5,246,359,248,234,72,197,269,283,344,358,240,250,362,274,252650
Lineups,-1628384-1628404-1628969-1628973-1629011-,O. Anunoby - J. Hart - M. Bridges - J. Brunson - M. Robinson,1610612752,NYK,17,14,3,0.824,70.0,137.2,133.8,110.8,109.8,26.4,24.0,0.653,2.61,22.9,0.358,0.652,0.521,0.129,0.675,0.696,94.6,96.21,80.17,139,0.587,4,2,562,275,6,133,357,181,232,56,119,200,342,250,363,131,140,437,236,211045
Lineups,-203903-1626157-1628384-1628969-1642278-,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - T. Kolek,1610612752,NYK,14,9,5,0.643,63.0,111.2,110.9,108.8,108.1,2.4,2.7,0.688,1.27,18.9,0.245,0.698,0.491,0.202,0.581,0.635,100.2,100.6,83.83,129,0.501,8,8,584,338,7,247,346,242,195,144,210,290,289,342,457,216,190,375,290,188950
Lineups,-1626157-1628384-1628969-1628973-1629011-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. Robinson,1610612752,NYK,9,5,4,0.556,52.0,116.5,118.1,112.0,109.2,4.4,8.9,0.625,3.33,19.0,0.359,0.761,0.527,0.086,0.505,0.532,97.4,97.95,81.63,105,0.529,19,25,574,346,8,211,354,229,235,31,207,199,235,244,302,258,296,418,275,157300
Lineups,-1628384-1628969-1628973-1629011-1629013-,O. Anunoby - M. Bridges - J. Brunson - M. Robinson - L. Shamet,1610612752,NYK,10,8,2,0.8,48.0,118.6,111.9,98.8,94.1,19.8,17.8,0.486,2.57,13.1,0.321,0.714,0.518,0.069,0.494,0.552,97.2,102.55,85.46,101,0.586,15,10,499,276,9,243,244,201,349,58,334,239,275,251,288,321,280,341,240,142525
Lineups,-1626157-1628384-1628404-1628973-1629013-,K. Towns - O. Anunoby - J. Hart - J. Brunson - L. Shamet,1610612752,NYK,18,12,6,0.667,45.0,119.0,113.6,133.7,128.0,-14.8,-14.4,0.69,2.64,19.7,0.288,0.811,0.506,0.107,0.549,0.589,102.7,107.44,89.54,103,0.438,3,3,590,304,10,231,432,375,194,55,192,252,202,257,328,239,241,258,334,136035
Lineups,-1628404-1628969-1628973-1629011-1630540-,J. Hart - M. Bridges - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,11,8,3,0.727,41.0,132.7,122.2,97.8,94.6,35.0,27.7,0.553,2.36,18.7,0.48,0.725,0.589,0.122,0.58,0.58,99.6,105.44,87.87,90,0.587,13,10,562,296,11,183,247,168,273,63,216,155,272,189,349,218,253,286,237,124275
Lineups,-203903-1626157-1628404-1628969-1628973-,J. Clarkson - K. Towns - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,15,12,3,0.8,38.0,123.0,118.9,134.5,127.2,-11.6,-8.2,0.517,1.5,15.3,0.3,0.655,0.475,0.135,0.559,0.633,93.9,98.3,81.91,74,0.414,6,3,562,276,13,204,431,359,282,125,292,247,340,352,366,232,194,411,346,113535
Lineups,-203903-1626157-1628384-1628969-1630540-,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - M. McBride,1610612752,NYK,11,5,6,0.455,38.0,111.5,116.5,114.4,116.5,-2.9,0.0,0.688,2.75,19.8,0.238,0.692,0.457,0.101,0.541,0.565,102.5,99.39,82.82,79,0.466,13,25,590,420,12,220,377,249,195,50,190,291,292,364,323,249,264,392,322,114460
Lineups,-203903-1626157-1628384-1628969-1628973-,J. Clarkson - K. Towns - O. Anunoby - M. Bridges - J. Brunson,1610612752,NYK,10,5,5,0.5,37.0,122.9,124.7,109.1,112.3,13.8,12.3,0.559,1.58,17.8,0.455,0.659,0.571,0.164,0.575,0.615,96.2,94.16,78.46,73,0.577,15,25,584,351,14,179,364,219,268,124,232,161,338,198,392,221,217,466,247,111645
Lineups,-203903-1628404-1628969-1628973-1629011-,J. Clarkson - J. Hart - M. Bridges - J. Brunson - M. Robinson,1610612752,NYK,13,8,5,0.615,36.0,138.7,138.2,115.4,113.0,23.3,25.2,0.575,4.6,19.7,0.439,0.727,0.54,0.066,0.599,0.613,99.5,100.82,84.02,76,0.592,9,10,584,340,15,125,369,173,259,13,193,166,270,233,283,199,218,369,231,109265
Lineups,-203903-1626157-1628404-1628969-1630540-,J. Clarkson - K. Towns - J. Hart - M. Bridges - M. McBride,1610612752,NYK,13,9,4,0.692,36.0,108.6,107.6,128.7,122.9,-20.1,-15.3,0.636,1.91,18.8,0.316,0.781,0.529,0.139,0.543,0.565,105.4,108.38,90.32,79,0.427,9,8,574,302,16,259,410,380,233,110,211,240,222,243,369,246,263,246,340,107620
Lineups,-1626157-1628384-1628404-1628969-1630631-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Alvarado,1610612752,NYK,4,4,0,1.0,35.0,149.1,150.0,119.9,117.8,29.2,32.2,0.75,5.0,27.3,0.323,0.846,0.561,0.086,0.686,0.706,98.1,98.7,82.25,70,0.583,60,38,1,1,17,90,390,156,163,9,69,238,183,217,302,128,134,406,243,104320
Lineups,-1628384-1628969-1628973-1629011-1630540-,O. Anunoby - M. Bridges - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,10,5,5,0.5,34.0,142.2,136.9,104.0,95.8,38.2,41.1,0.552,1.6,17.2,0.448,0.703,0.591,0.154,0.667,0.7,90.9,96.6,80.5,65,0.645,15,25,584,351,18,128,248,134,274,122,240,164,284,188,387,134,136,432,194,101365
Lineups,-1628404-1628973-1629011-1629013-1642885-,J. Hart - J. Brunson - M. Robinson - L. Shamet - M. Diawara,1610612752,NYK,10,7,3,0.7,33.0,116.4,116.7,110.7,104.2,5.7,12.4,0.677,4.2,20.8,0.222,0.92,0.508,0.069,0.545,0.574,100.6,103.47,86.22,72,0.523,15,14,562,300,20,214,335,218,199,16,155,293,169,255,289,244,257,321,279,99510
Lineups,-1626157-1628384-1628969-1628973-1642885-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. Diawara,1610612752,NYK,5,4,1,0.8,33.0,124.2,117.3,111.6,109.5,12.7,7.9,0.71,4.4,21.4,0.162,0.967,0.522,0.067,0.582,0.612,103.0,107.02,89.18,75,0.507,50,38,270,276,19,213,355,232,185,14,146,320,167,247,284,215,220,263,289,100245
Lineups,-1626157-1628384-1628969-1630631-1642885-,K. Towns - O. Anunoby - M. Bridges - J. Alvarado - M. Diawara,1610612752,NYK,8,4,4,0.5,32.0,122.7,122.4,101.6,100.0,21.1,22.4,0.71,4.4,22.7,0.281,0.639,0.471,0.075,0.571,0.604,98.9,99.79,83.16,67,0.612,26,38,574,351,21,182,252,184,185,14,125,264,345,354,291,222,227,389,209,97400
Lineups,-203903-1626157-1628404-1630540-1642278-,J. Clarkson - K. Towns - J. Hart - M. McBride - T. Kolek,1610612752,NYK,7,6,1,0.857,30.0,108.0,112.9,104.4,101.7,3.6,11.2,0.769,2.86,21.5,0.306,0.769,0.5,0.113,0.5,0.532,98.3,97.28,81.06,62,0.54,32,19,270,271,22,236,330,221,160,49,142,245,230,259,342,259,302,424,271,90300
Lineups,-1628384-1628404-1628973-1629011-1629013-,O. Anunoby - J. Hart - J. Brunson - M. Robinson - L. Shamet,1610612752,NYK,12,8,4,0.667,28.0,127.7,115.6,99.2,96.8,28.5,18.9,0.621,2.0,20.2,0.292,0.852,0.588,0.141,0.663,0.661,101.3,107.77,89.81,64,0.62,12,10,574,304,23,223,250,197,243,75,160,251,182,190,371,152,168,254,204,84180
Lineups,-1628404-1628969-1628973-1629011-1629013-,J. Hart - M. Bridges - J. Brunson - M. Robinson - L. Shamet,1610612752,NYK,9,7,2,0.778,26.0,101.9,96.2,128.2,134.7,-26.3,-38.5,0.526,1.67,14.1,0.333,0.625,0.471,0.115,0.489,0.52,94.1,94.51,78.76,52,0.352,19,14,499,282,24,327,462,429,281,116,322,206,350,354,343,323,307,463,372,76945
Lineups,-1626157-1628384-1628404-1628969-1642278-,K. Towns - O. Anunoby - J. Hart - M. Bridges - T. Kolek,1610612752,NYK,8,5,3,0.625,25.0,128.9,121.8,105.4,100.0,23.5,21.8,0.808,3.0,26.3,0.222,0.68,0.488,0.127,0.682,0.698,97.2,102.65,85.54,55,0.66,26,25,562,339,25,188,252,186,142,33,80,293,294,343,359,129,137,338,188,75750
Lineups,-1626157-1628384-1628969-1629013-1630631-,K. Towns - O. Anunoby - M. Bridges - L. Shamet - J. Alvarado,1610612752,NYK,9,6,3,0.667,25.0,135.9,132.7,92.0,87.8,43.8,44.9,0.76,4.75,24.1,0.458,0.667,0.574,0.082,0.606,0.627,90.9,94.24,78.53,49,0.719,19,19,562,304,26,150,229,127,161,12,115,158,296,197,297,193,198,465,160,74875
